Rank,Gene,
1405,APOC4,
1406,LEF1,
1407,TRAF2,
1408,CALCA,
1409,RGS14,
1410,GALR1,
1411,TACR3,
1412,LEFTY2,
1413,CAMK2A,
1414,UBE2D1,
1415,AIMP1,
1416,C5,
1417,OPRL1,
1418,WDTC1,
1419,CCR10,
1420,MPP1,
1421,PON2,
1422,PPP3CA,
1423,PNOC,
1424,EPHA2,
1425,CXCL2,
1426,GPRC6A,
1427,CXCL13,
1428,SGK1,
1429,CCKBR,
1430,SPATA5,
1431,SLC9A3,
1432,MSR1,
1433,SKP1,
1434,PTGER1,
1435,CHRM3,
1436,SSTR1,
1437,ELOVL4,
1438,GATA2,
1439,TACR1,
1440,ADRA1B,
1441,SNAI1,
1442,F2RL3,
1443,NPY1R,
1444,KIF5C,
1445,RUNX3,
1446,SDHC,
1447,HCK,
1448,CNR2,
1449,KLC1,
1450,SSTR5,
1451,CCKAR,
1452,PIKFYVE,
1453,MEF2C,
1454,ADRA2A,
1455,YWHAE,
1456,AVPR1A,
1457,PTGFR,
1458,KISS1R,
1459,DLG2,
1460,EPOR,
1461,STX4,
1462,PLCG1,
1463,ADRA1D,
1464,RPS6KA1,
1465,MLN,
1466,SMAD7,
1467,EPS15,
1468,HCRT,
1469,KLF4,
1470,TOP1,
1471,OPRD1,
1472,CCL25,
1473,LPAR6,
1474,NME1,
1475,S1PR2,
1476,ITGA2B,
1477,CCL28,
1478,CD44,
1479,CNTN5,
1480,ALDOA,
1481,ADRA1A,
1482,TMIGD3,
1483,GRPR,
1484,KIF3B,
1485,FPR3,
1486,HSDL2,
1487,MLH1,
1488,PARP1,
1489,TAC3,
1490,CXCL6,
1491,F13A1,
1492,VEGFB,
1493,CXCL3,
1494,WNT5A,
1495,PIK3CD,
1496,HTR1F,
1497,IFNB1,
1498,ANXA4,
1499,NPY5R,
1500,CCL27,
1501,H2AFV,
1502,HTR2B,
1503,HCRTR1,
1504,TAS2R1,
1505,MYH6,
1506,NMB,
1507,RGS1,
1508,LTB4R,
1509,HTR5A,
1510,C5AR1,
1511,STX1A,
1512,C3AR1,
1513,CNTN3,
1514,NPY2R,
1515,HTR1E,
1516,TAS2R3,
1517,TAS2R4,
1518,CEBPB,
1519,ADRA2C,
1520,AP2A2,
1521,PTGDR2,
1522,XCL2,
1523,RGS2,
1524,SSTR4,
1525,HDAC4,
1526,FFAR1,
1527,BCAM,
1528,TAS2R16,
1529,PRKCB,
1530,SOD1,
